DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,36,17,15,17,34,27,0,17,10,1013,0,34,0,24,113,113,113,0,1,11.6,météo idéale
2009-01-02,35,16,12,16,34,26,0,15,10,1014,3.625,34,0,24,113,113,113,0,1,11.6,météo idéale
2009-01-03,35,16,14,16,33,26,0,13,10,1015,4.875,33,0,23,113,113,113,0,1,11.6,météo idéale
2009-01-04,36,16,11,16,34,26,0,13,10,1013,2.125,34,0,24,113,113,113,0,1,11.6,météo idéale
2009-01-05,36,15,9,15,35,24,0,11,10,1014,4.875,34,0,24,113,113,113,0,1,11.6,météo idéale
2009-01-06,37,17,8,17,35,27,0,10,10,1013,7.75,35,0,25,113,113,113,0,1,11.6,météo favorable
2009-01-07,36,17,13,17,34,27,0,13,10,1011,4.875,34,0,27,113,113,113,0,1,11.6,météo idéale
2009-01-08,37,17,13,17,33,27,0,19,10,1011,15.875,36,0,23,113,113,113,0,1,11.6,météo favorable
2009-01-09,36,17,14,17,33,28,0,18,10,1013,1,34,0,23,113,113,113,0,1,11.6,météo idéale
2009-01-10,37,16,10,16,37,28,0,17,10,1015,0.625,36,0,23,113,113,113,0,1,11.6,météo favorable
2009-01-11,34,18,14,18,33,26,0,18,10,1014,3.75,32,0,25,113,113,113,0,1,11.6,météo idéale
2009-01-12,34,18,15,18,32,26,0,16,10,1012,1.625,32,0,24,113,113,113,0,1,11.6,météo idéale
2009-01-13,33,17,14,17,30,26,0,22,10,1014,1.125,31,0,21,113,113,113,0,1,11.6,météo idéale
2009-01-14,34,16,14,16,30,26,0,16,10,1014,2.125,32,0,21,113,113,113,0,1,11.6,météo idéale
2009-01-15,35,17,14,17,31,26,0,17,10,1013,3.75,33,0,22,113,113,113,0,1,11.6,météo idéale
2009-01-16,38,17,11,17,35,28,0,14,10,1012,7.875,37,0,25,113,113,113,0,1,11.6,météo favorable
2009-01-17,35,18,13,18,33,27,0,14,10,1013,8.5,33,0,24,113,113,113,0,1,11.6,météo idéale
2009-01-18,32,19,17,19,30,26,0,18,10,1014,32.875,29,0,22,113,113,116,0,1,11.6,météo favorable
2009-01-19,28,18,17,18,27,24,0,22,10,1015,15.375,26,0,21,113,113,113,0,1,11.6,météo idéale
2009-01-20,29,16,15,16,26,22,0,18,10,1016,5.75,27,0,19,113,113,113,0,1,11.6,météo idéale
2009-01-21,30,14,12,14,28,23,0,16,10,1015,10.75,28,0,19,113,113,113,0,1,11.6,météo favorable
2009-01-22,29,16,18,16,26,25,0,30,10,1016,21.875,27,2,20,113,113,113,0,1,11.6,météo idéale
2009-01-23,30,17,18,17,26,23,0,11,10,1018,13.375,28,0,20,113,113,113,0,1,11.6,météo idéale
2009-01-24,31,12,15,12,28,24,0,10,10,1016,6.25,29,0,19,113,113,113,0,1,11.6,météo favorable
2009-01-25,34,13,10,13,31,25,0,10,10,1015,6,32,0,21,113,113,113,0,1,11.6,météo favorable
2009-01-26,35,15,10,15,34,26,0,8,10,1014,2.625,34,0,22,113,113,113,0,1,11.6,météo idéale
2009-01-27,37,15,13,15,35,26,0,8,10,1014,0,36,0,24,113,113,113,0,1,11.6,météo favorable
2009-01-28,37,17,14,17,34,27,0,9,10,1013,0,36,0,24,113,113,113,0,1,11.6,météo favorable
2009-01-29,38,15,9,15,36,27,0,13,10,1012,0,37,0,25,113,113,113,0,1,11.6,météo favorable
2009-01-30,38,18,12,18,36,28,0,14,10,1013,0,37,0,25,113,113,113,0,1,11.6,météo favorable
2009-01-31,39,18,11,18,37,28,0,10,10,1011,0,39,0,26,113,113,113,0,1,11.6,météo favorable
2009-02-01,39,18,10,18,37,25,0,56,10,1011,2.75,39,15,25,113,113,113,0,1,11.6,météo favorable
2009-02-02,42,17,7,18,39,29,0,21,10,1011,10.375,43,5,28,113,113,113,0,1,11.6,météo correcte
2009-02-03,42,20,4,20,41,29,0,35,10,1011,4.625,43,12,29,113,113,113,0,1,11.6,météo correcte
2009-02-04,40,21,10,21,38,30,0,11,10,1011,1.75,39,0,27,113,113,113,0,1,11.6,météo favorable
2009-02-05,40,16,9,16,40,29,0,10,10,1012,0,40,0,29,113,113,113,0,1,11.6,météo correcte
2009-02-06,41,16,9,16,40,25,0,56,10,1012,3.875,41,15,25,113,113,113,0,1,11.6,météo correcte
2009-02-07,42,16,9,16,42,29,0,9,10,1011,0,43,5,29,113,113,113,0,1,11.6,météo correcte
2009-02-08,37,20,17,20,34,30,0,20,10,1012,7.5,35,0,25,113,113,113,0,1,11.6,météo favorable
2009-02-09,37,19,14,19,33,30,0,11,10,1014,6.625,36,0,24,113,113,113,0,1,11.6,météo favorable
2009-02-10,39,18,10,18,36,30,0,8,10,1013,1.25,38,0,25,113,113,113,0,1,11.6,météo favorable
2009-02-11,39,19,18,19,37,29,0,11,10,1012,2.25,39,0,26,113,113,113,0,1,11.6,météo favorable
2009-02-12,42,18,7,19,40,27,0,41,10,1009,0,43,13,27,113,113,113,0,1,11.6,météo correcte
2009-02-13,40,19,8,20,39,30,0,11,10,1009,0,39,0,28,113,113,113,0,1,11.6,météo favorable
2009-02-14,41,16,6,16,41,28,0,35,10,1009,0,41,11,28,113,113,113,0,1,11.6,météo correcte
2009-02-15,42,17,5,17,41,28,0,32,10,1008,4.75,42,9,28,113,113,113,0,1,11.6,météo correcte
2009-02-16,40,21,14,21,39,33,0,33,10,1008,14.5,39,15,30,116,113,113,0,1,11.6,météo favorable
2009-02-17,35,25,17,25,34,27,0.4,62,9.875,1010,32.375,36,20,27,116,116,116,0,1,11.6,météo favorable
2009-02-18,29,23,17,23,28,26,1.7,67,9.875,1012,48.5,30,19,24,116,116,116,0,1,11.6,météo favorable
2009-02-19,29,22,12,22,28,27,0,50,10,1012,51.875,28,18,26,116,116,119,0,1,10.2,météo favorable
2009-02-20,36,21,21,21,34,30,0,39,10,1011,8.875,34,12,26,113,113,113,0,1,11.6,météo idéale
2009-02-21,38,23,19,23,35,32,0,37,10,1012,2.375,37,11,27,113,113,113,0,1,11.6,météo favorable
2009-02-22,39,22,16,22,37,32,0,26,10,1012,3.75,38,7,28,113,113,113,0,1,11.6,météo favorable
2009-02-23,39,19,17,19,37,32,0,22,10,1009,0.375,38,5,28,113,113,113,0,1,11.6,météo favorable
2009-02-24,39,21,10,21,36,31,0,16,10,1009,0,38,1,28,113,113,113,0,1,11.6,météo favorable
2009-02-25,39,22,14,22,37,32,0,15,10,1009,0.25,38,3,28,113,113,113,0,1,11.6,météo favorable
2009-02-26,40,24,10,24,40,34,0,21,10,1010,4.75,39,9,30,113,113,113,0,1,11.6,météo favorable
2009-02-27,40,25,12,25,38,34,0,14,10,1009,2.125,39,3,31,113,113,113,0,1,11.6,météo favorable
2009-02-28,41,24,9,24,38,34,0,32,10,1011,11.125,42,15,30,113,113,113,0,1,11.6,météo correcte
2009-03-01,40,25,11,25,39,34,0,14,10,1011,4.375,40,8,30,113,113,113,0,1,11.6,météo correcte
2009-03-02,40,23,16,23,38,32,0,10,10,1011,3,40,0,30,113,113,113,0,1,11.6,météo correcte
2009-03-03,40,22,11,22,38,32,0,9,10,1010,2.25,41,0,30,113,113,113,0,1,11.6,météo correcte
2009-03-04,41,22,9,22,40,34,0,11,10,1010,4,41,0,31,113,113,113,0,1,11.6,météo correcte
2009-03-05,40,23,12,23,39,32,0,12,10,1011,0.25,40,0,28,113,113,113,0,1,11.6,météo correcte
2009-03-06,41,22,6,22,39,31,0,11,10,1010,7.25,42,0,29,113,113,116,0,1,11.6,météo correcte
2009-03-07,42,22,10,22,37,31,0,10,10,1009,2.125,43,0,29,113,113,113,0,1,11.6,météo correcte
2009-03-08,41,23,10,23,38,31,0,10,10,1009,0.75,42,0,29,113,113,113,0,1,11.6,météo correcte
2009-03-09,41,21,13,21,39,31,0,9,10,1010,0,42,0,29,113,113,113,0,1,11.6,météo correcte
2009-03-10,42,22,10,22,39,33,0,28,10,1009,4.25,43,12,31,113,113,113,0,1,11.6,météo correcte
2009-03-11,42,27,13,27,42,35,0,44,10,1009,6.625,43,19,32,113,113,113,0,1,11.6,météo correcte
2009-03-12,41,27,10,27,39,34,0.8,39,9.875,1007,13.25,42,17,33,113,113,113,0,1,11.6,météo correcte
2009-03-13,37,27,11,27,35,32,0,59,10,1010,16.5,37,20,29,113,116,113,0,1,11.6,météo favorable
2009-03-14,41,23,12,23,41,35,0,44,10,1011,1.5,42,17,30,113,113,113,0,1,11.6,météo correcte
2009-03-15,41,23,10,23,41,34,0,37,10,1011,4.625,41,15,31,113,113,113,0,1,11.6,météo correcte
2009-03-16,42,24,18,24,39,33,0,45,10,1009,2.875,43,17,30,113,113,113,0,1,11.6,météo correcte
2009-03-17,39,27,21,27,39,34,0,41,10,1008,11.875,39,17,32,113,113,113,0,1,11.6,météo favorable
2009-03-18,35,26,8,26,32,31,0,46,10,1009,16,35,19,31,113,116,113,0,1,11.6,météo favorable
2009-03-19,38,26,13,26,38,34,0,52,10,1010,24.375,39,21,30,116,113,113,0,1,11.6,météo favorable
2009-03-20,36,26,19,26,34,33,0.1,58,10,1012,40.5,35,20,29,116,119,116,0,1,8.8,météo correcte
2009-03-21,41,25,10,25,40,34,0,32,10,1011,15.625,41,14,33,113,113,113,0,1,11.6,météo correcte
2009-03-22,42,25,13,25,41,36,0,13,10,1009,3.5,43,3,32,113,113,113,0,1,11.6,météo correcte
2009-03-23,43,25,12,25,42,36,0,39,10,1008,5.75,44,16,32,113,113,113,0,1,11.6,météo défavorable
2009-03-24,44,27,10,27,44,37,0,39,10,1007,6.875,46,18,34,113,113,113,0,1,11.6,météo défavorable
2009-03-25,42,28,17,29,42,36,0,31,10,1005,7.625,43,15,35,113,113,113,0,1,11.6,météo correcte
2009-03-26,42,28,15,28,42,37,0.1,35,10,1007,9.875,43,17,35,113,113,113,0,1,11.6,météo correcte
2009-03-27,42,27,13,27,41,36,0,42,10,1008,14.625,42,20,35,116,113,113,0,1,11.6,météo correcte
2009-03-28,41,27,14,27,39,35,0,41,10,1006,27.5,41,17,32,113,116,113,0,1,11.6,météo correcte
2009-03-29,38,29,13,29,38,34,1.7,49,9.875,1007,32.75,40,21,33,116,116,116,0,1,11.6,météo correcte
2009-03-30,41,27,14,27,39,35,0.1,44,10,1008,16.75,42,20,32,113,113,116,0,1,11.6,météo correcte
2009-03-31,43,27,3,27,43,35,0,24,10,1008,6.75,45,10,34,113,113,113,0,1,11.6,météo défavorable
2009-04-01,42,25,9,25,39,34,0,38,10,1009,3.875,42,16,32,113,113,113,0,1,11.6,météo correcte
2009-04-02,40,27,12,27,40,34,0,16,10,1010,5.875,40,15,33,113,113,113,0,1,11.6,météo correcte
2009-04-03,41,22,10,22,40,33,0,14,10,1010,2,41,7,32,113,113,113,0,1,11.6,météo correcte
2009-04-04,41,22,13,22,40,33,0,11,10,1010,0,41,1,33,113,113,113,0,1,11.6,météo correcte
2009-04-05,44,24,8,24,44,35,0,32,10,1011,0,46,13,31,113,113,113,0,1,11.6,météo défavorable
2009-04-06,42,23,8,23,42,33,0,24,10,1011,0.625,43,10,33,113,113,113,0,1,11.6,météo correcte
2009-04-07,41,24,13,24,40,33,0,9,10,1010,0,42,4,33,113,113,113,0,1,11.6,météo correcte
2009-04-08,41,23,14,23,39,34,0,47,10,1011,0.25,41,19,32,113,113,113,0,1,11.6,météo correcte
2009-04-09,43,26,7,26,43,33,0,18,10,1010,0,44,7,33,113,113,113,0,1,11.6,météo défavorable
2009-04-10,42,25,10,25,41,36,0,48,10,1009,5.75,43,20,32,113,113,113,0,1,11.6,météo correcte
2009-04-11,38,29,18,30,38,33,0,41,10,1009,24,39,19,33,113,116,116,0,1,11.6,météo favorable
2009-04-12,40,28,9,28,37,35,0.1,56,9.75,1010,37.875,41,21,30,200,116,116,0,1,11.6,météo correcte
2009-04-13,40,30,16,30,39,35,0,47,10,1010,34.375,40,20,32,113,116,116,0,1,11.6,météo correcte
2009-04-14,37,29,15,29,32,33,0,55,10,1012,44.375,38,20,30,119,119,113,0,1,8.9,météo correcte
2009-04-15,38,27,14,27,38,36,0,51,10,1013,41.25,39,18,30,119,113,116,0,1,11.6,météo favorable
2009-04-16,42,28,11,28,42,36,0,29,10,1012,17.5,43,14,35,113,113,116,0,1,11.6,météo correcte
2009-04-17,44,26,10,26,44,37,0,33,10,1011,6.125,46,16,34,113,113,113,0,1,11.6,météo défavorable
2009-04-18,42,23,14,23,42,35,0,22,10,1010,0.875,43,11,35,113,113,113,0,1,12.3,météo correcte
2009-04-19,44,24,12,24,42,33,0,41,10,1010,2.25,46,17,33,113,113,113,0,1,12.3,météo défavorable
2009-04-20,44,27,12,27,44,34,0,36,10,1011,3.75,46,17,34,113,113,113,0,1,12.7,météo défavorable
2009-04-21,47,27,8,28,47,36,0,31,10,1010,20.25,52,17,36,116,116,113,0,1,12.7,météo très défavorable
2009-04-22,46,27,8,27,46,35,0,23,10,1008,16.875,49,13,35,113,113,116,0,1,12.7,météo très défavorable
2009-04-23,43,27,16,27,41,35,0,12,10,1009,4.5,44,9,35,113,113,113,0,1,12.7,météo défavorable
2009-04-24,42,21,11,21,41,33,0,9,10,1010,0.125,43,0,33,113,113,113,0,1,12.7,météo correcte
2009-04-25,42,22,12,23,41,31,0,22,10,1010,0.125,43,8,31,113,113,113,0,1,12.7,météo correcte
2009-04-26,43,23,12,23,42,33,0,35,10,1010,0,44,15,32,113,113,113,0,1,12.7,météo défavorable
2009-04-27,41,26,16,26,40,35,0,45,10,1010,10.25,42,19,32,113,113,113,0,1,12.7,météo correcte
2009-04-28,42,25,13,25,41,35,0,45,10,1011,4.75,44,18,31,113,113,113,0,1,12.7,météo défavorable
2009-04-29,43,27,12,27,43,35,0,39,10,1011,10.75,45,18,33,113,113,113,0,1,12.7,météo défavorable
2009-04-30,42,30,13,30,42,35,0.1,39,10,1011,16.625,43,18,34,113,113,113,0,1,12.7,météo correcte
2009-05-01,44,25,12,25,44,31,0,24,10,1009,0.375,45,14,31,113,113,113,0,1,12.7,météo défavorable
2009-05-02,43,25,17,25,42,36,0,36,10,1009,1.875,45,16,33,113,113,113,0,1,12.8,météo défavorable
2009-05-03,43,28,14,28,38,37,0,47,10,1009,6.5,44,20,33,113,113,113,0,1,12.8,météo défavorable
2009-05-04,40,29,12,29,40,34,0,40,10,1009,19.125,41,19,34,113,116,113,0,1,12.8,météo correcte
2009-05-05,41,28,13,28,38,36,0,37,10,1010,14.125,41,17,34,113,113,113,0,1,12.8,météo correcte
2009-05-06,42,25,15,25,37,35,0,53,10,1011,8.875,42,21,31,113,113,113,0,1,12.8,météo correcte
2009-05-07,42,26,13,26,40,35,0,49,10,1010,9.75,42,20,32,113,113,113,0,1,12.8,météo correcte
2009-05-08,42,26,10,26,40,33,0,55,10,1010,7.25,44,20,30,113,113,113,0,1,12.8,météo défavorable
2009-05-09,41,26,14,26,40,35,0,44,10,1010,11.25,41,19,32,113,113,113,0,1,12.8,météo correcte
2009-05-10,38,28,17,28,38,33,0.6,52,9.875,1011,25,40,20,31,113,116,116,0,1,12.8,météo correcte
2009-05-11,37,25,19,25,36,33,0,54,10,1011,20.625,37,21,30,113,113,116,0,1,12.8,météo favorable
2009-05-12,38,23,13,23,38,34,0,49,10,1012,19,39,19,30,113,113,116,0,1,12.8,météo favorable
2009-05-13,39,28,9,28,39,34,0.1,37,10,1011,24.75,39,17,34,113,116,116,0,1,12.8,météo favorable
2009-05-14,39,26,10,26,38,35,0,30,10,1010,17.75,38,15,35,113,116,113,0,1,12.8,météo favorable
2009-05-15,43,28,6,28,43,35,0,30,10,1009,9.75,45,15,35,113,116,113,0,1,12.8,météo défavorable
2009-05-16,41,27,12,27,41,36,0,42,10,1009,13.125,42,19,33,113,113,113,0,1,12.8,météo correcte
2009-05-17,42,27,8,27,42,33,0.1,39,10,1011,21.5,44,18,33,113,116,116,0,1,12.8,météo défavorable
2009-05-18,43,29,17,29,43,34,0,38,10,1010,12,44,18,34,116,113,113,0,1,12.8,météo défavorable
2009-05-19,41,28,13,28,41,36,0,46,10,1011,6.625,43,19,32,113,113,113,0,1,12.8,météo correcte
2009-05-20,43,29,15,29,43,33,0,46,10,1011,4.25,45,20,33,113,113,113,0,1,12.8,météo défavorable
2009-05-21,44,27,15,27,44,35,0,39,10,1009,2.875,46,18,34,113,113,113,0,1,12.9,météo défavorable
2009-05-22,43,27,16,27,41,33,0,41,10,1010,0.625,44,18,33,113,113,113,0,1,12.9,météo défavorable
2009-05-23,42,27,17,27,39,35,0,50,10,1011,2.25,43,20,32,113,113,113,0,1,12.9,météo correcte
2009-05-24,41,27,15,27,38,34,0,41,10,1011,8.625,42,18,33,113,113,113,0,1,12.9,météo correcte
2009-05-25,45,26,9,26,45,33,0,34,10,1009,4.375,49,17,33,113,113,113,0,1,12.9,météo très défavorable
2009-05-26,42,27,17,27,38,37,0,49,10,1011,2.875,43,20,32,113,113,113,0,1,12.9,météo correcte
2009-05-27,42,27,12,27,40,36,0,42,10,1009,5.875,43,19,34,113,113,113,0,1,12.9,météo correcte
2009-05-28,44,28,14,28,40,34,0,47,10,1010,6.125,46,20,33,113,113,113,0,1,12.9,météo défavorable
2009-05-29,43,27,14,27,40,33,0,50,10,1010,6.75,44,20,32,113,113,113,0,1,12.9,météo défavorable
2009-05-30,40,26,16,26,38,36,0,45,10,1011,7.875,41,19,32,113,113,116,0,1,12.9,météo correcte
2009-05-31,41,26,10,26,37,33,0.2,66,9.875,1012,13.375,41,20,27,113,116,113,0,1,12.9,météo correcte
2009-06-01,42,25,14,25,42,37,0,34,10,1012,4.125,44,15,33,113,113,113,0,1,12.9,météo défavorable
2009-06-02,43,27,15,27,39,35,0,47,10,1011,3,44,19,32,113,113,113,0,1,12.9,météo défavorable
2009-06-03,39,26,17,26,39,37,0,45,10,1010,6,41,19,33,113,113,113,0,1,12.9,météo correcte
2009-06-04,40,28,14,28,39,36,0,49,10,1011,12.25,42,20,32,113,113,113,0,1,12.9,météo correcte
2009-06-05,40,26,16,26,38,35,0.1,53,10,1013,10.875,40,21,31,113,113,113,0,1,12.9,météo correcte
2009-06-06,39,27,15,27,38,34,0.1,47,10,1013,21.375,40,18,31,113,113,116,0,1,12.9,météo correcte
2009-06-07,42,25,10,25,42,32,0,48,10,1014,19.375,43,19,31,116,116,113,0,1,12.9,météo correcte
2009-06-08,42,25,8,25,41,34,0,39,10,1011,14,43,17,33,113,113,113,0,1,12.9,météo correcte
2009-06-09,45,29,15,29,40,35,0,42,10,1010,3.375,48,19,33,113,113,113,0,1,12.9,météo très défavorable
2009-06-10,38,29,19,29,36,36,0,57,10,1010,10.125,41,21,31,113,113,113,0,1,12.9,météo correcte
2009-06-11,41,26,11,26,41,35,0,54,10,1012,22.25,45,20,31,113,113,116,0,1,12.9,météo défavorable
2009-06-12,38,27,12,27,38,33,0,54,10,1012,25.875,41,20,30,113,116,116,0,1,12.9,météo correcte
2009-06-13,36,25,12,25,33,31,1.5,62,10,1014,45.875,38,20,28,116,113,116,0,1,12.9,météo favorable
2009-06-14,37,24,9,24,37,35,0.2,54,10,1014,29.375,39,21,31,113,116,116,0,1,12.9,météo favorable
2009-06-15,42,25,11,25,37,34,0,48,10,1013,18.5,43,18,31,113,113,113,0,1,12.9,météo correcte
2009-06-16,40,26,14,26,40,32,0,50,10,1013,10.125,43,18,30,113,113,113,0,1,12.9,météo correcte
2009-06-17,38,25,13,25,37,34,0,58,10,1013,16.375,39,21,30,113,113,116,0,1,12.9,météo favorable
2009-06-18,42,24,10,24,39,35,0,51,10,1013,19.125,44,20,30,113,113,116,0,1,12.9,météo défavorable
2009-06-19,40,26,13,26,39,37,0,45,10,1011,7.125,41,19,32,113,113,113,0,1,12.9,météo correcte
2009-06-20,37,27,16,27,35,34,0,58,10,1012,15.375,39,21,30,113,113,116,0,1,12.9,météo favorable
2009-06-21,32,24,19,24,32,27,0.3,59,9.375,1013,26.125,33,21,27,113,116,116,0,1,12.9,météo favorable
2009-06-22,30,22,9,22,24,26,0.3,73,9.375,1015,36.625,31,19,24,116,116,116,0,1,12.9,météo favorable
2009-06-23,40,23,7,23,40,32,0,51,10,1015,19.375,42,19,30,113,113,113,0,1,12.9,météo correcte
2009-06-24,42,25,12,25,40,35,0,40,10,1011,9.75,43,17,32,113,113,113,0,1,12.9,météo correcte
2009-06-25,36,27,14,27,34,34,0,62,9.75,1013,12.875,40,21,29,113,200,113,0,1,12.9,météo correcte
2009-06-26,40,26,13,26,36,36,0,53,9.75,1013,15.5,42,20,31,113,113,200,0,1,12.9,météo correcte
2009-06-27,37,25,14,25,34,33,1.2,66,9.75,1014,20.125,41,22,28,113,113,200,0,1,12.9,météo correcte
2009-06-28,40,25,12,25,36,34,2.3,60,10,1014,12.875,43,22,29,113,113,113,0,1,12.9,météo correcte
2009-06-29,37,26,17,26,34,34,0,62,9.875,1013,13,40,21,29,200,113,113,0,1,12.9,météo correcte
2009-06-30,37,25,15,25,34,33,0,59,10,1013,4.375,39,20,29,113,113,113,0,1,12.9,météo favorable
2009-07-01,37,25,12,25,35,34,0,58,10,1014,11.125,39,20,29,113,113,113,0,1,12.9,météo favorable
2009-07-02,37,26,12,26,36,33,0,51,10,1015,8.125,38,18,30,113,113,113,0,1,12.9,météo favorable
2009-07-03,39,25,12,25,38,35,0,49,10,1013,11,41,19,31,113,113,116,0,1,12.9,météo correcte
2009-07-04,41,27,13,27,36,35,0,53,10,1012,9.25,44,20,31,113,113,113,0,1,12.9,météo défavorable
2009-07-05,39,26,13,26,36,35,0,61,10,1011,2.875,42,21,30,113,113,113,0,1,12.9,météo correcte
2009-07-06,38,26,14,26,36,34,0,62,10,1011,8.75,41,21,29,113,113,113,0,1,12.9,météo correcte
2009-07-07,38,26,15,26,35,34,0,63,10,1011,8.875,41,21,29,113,113,113,0,1,12.9,météo correcte
2009-07-08,37,25,13,25,34,32,0.4,65,9.875,1012,17.625,41,21,28,113,113,113,0,1,12.9,météo correcte
2009-07-09,39,24,14,24,35,34,0.2,63,9.375,1013,32.125,43,21,28,116,113,116,0,1,12.9,météo correcte
2009-07-10,32,24,19,25,32,25,2,77,9.625,1012,38.5,35,22,25,116,116,116,0,1,12.9,météo favorable
2009-07-11,33,22,14,22,31,29,0,69,10,1014,25.875,35,21,26,113,116,116,0,1,12.9,météo favorable
2009-07-12,34,22,13,22,32,30,0,64,10,1016,28.375,35,21,26,116,113,116,0,1,12.9,météo favorable
2009-07-13,38,23,10,23,36,33,0,61,10,1015,15.25,40,20,28,113,113,113,0,1,12.9,météo correcte
2009-07-14,36,26,12,26,35,32,0,55,10,1014,15.875,38,19,29,113,113,113,0,1,12.9,météo favorable
2009-07-15,34,25,12,25,34,29,0.2,54,9.875,1015,38.375,35,20,28,113,116,116,0,1,12.9,météo favorable
2009-07-16,36,24,11,24,34,32,0,67,10,1015,19.125,39,21,28,116,113,113,0,1,12.9,météo favorable
2009-07-17,37,24,13,24,33,33,1.1,82,9.5,1013,26,40,22,25,116,113,200,0,1,12.9,météo correcte
2009-07-18,29,24,12,24,26,27,28.8,92,8.75,1013,49.375,33,23,24,116,116,113,0,1,12.9,météo très défavorable
2009-07-19,31,23,11,23,29,28,0.4,79,9.875,1014,39.125,34,22,25,116,116,113,0,1,12.9,météo favorable
2009-07-20,35,23,12,23,33,31,0,69,10,1015,19.25,38,22,27,116,113,113,0,1,12.9,météo favorable
2009-07-21,38,24,9,24,36,33,0.9,64,9.875,1013,16,41,21,29,113,113,113,0,1,12.9,météo correcte
2009-07-22,36,25,13,25,34,32,0,64,10,1012,15.125,39,22,29,113,113,113,0,1,12.8,météo favorable
2009-07-23,36,24,10,24,34,32,0,66,10,1013,13.375,39,22,28,113,113,113,0,1,12.8,météo favorable
2009-07-24,35,25,14,25,34,30,0,67,10,1012,5.5,38,22,28,113,113,113,0,1,12.8,météo favorable
2009-07-25,34,24,14,24,32,30,1.5,68,9.75,1012,11.875,37,22,28,113,113,113,0,1,12.8,météo favorable
2009-07-26,35,24,13,24,34,31,0.1,68,10,1013,30.375,38,22,28,113,116,116,0,1,12.8,météo favorable
2009-07-27,34,25,14,25,34,29,1.6,66,9.75,1013,34.75,37,22,28,116,116,200,0,1,12.8,météo favorable
2009-07-28,31,24,13,24,31,27,4.1,85,8.875,1013,47.875,36,24,27,116,116,200,0,1,11.9,météo favorable
2009-07-29,27,23,12,23,25,26,2.6,92,9.875,1015,65.375,30,22,23,119,122,116,0,1,9.1,météo défavorable
2009-07-30,33,22,12,22,32,30,0,69,10,1014,16.875,37,22,27,113,113,113,0,1,12.4,météo favorable
2009-07-31,36,25,10,25,36,29,12.1,69,9.375,1013,30.5,41,24,29,113,116,200,0,1,12.4,météo correcte
2009-08-01,31,24,5,24,31,28,6.5,87,8.375,1014,52.375,36,24,26,143,116,200,0,1,12.4,météo favorable
2009-08-02,34,23,11,23,32,29,0.2,77,9.875,1014,33.25,39,23,27,116,113,200,0,1,12.4,météo favorable
2009-08-03,32,25,7,25,29,28,0.5,88,9.25,1014,49,36,23,25,116,116,113,0,1,10.2,météo favorable
2009-08-04,34,24,13,24,34,25,0.2,85,9.875,1014,43.625,36,23,25,116,116,119,0,1,10.2,météo favorable
2009-08-05,33,23,9,23,32,30,0.2,76,9.875,1014,31.375,38,23,27,116,113,113,0,1,11.6,météo favorable
2009-08-06,36,24,11,24,36,29,0.5,70,9.75,1013,28.75,42,23,28,113,116,200,0,1,11.6,météo correcte
2009-08-07,33,24,10,24,32,30,0,72,10,1014,19,36,22,28,113,116,113,0,1,11.6,météo favorable
2009-08-08,33,23,11,23,32,29,0,74,10,1015,15.625,37,23,26,116,113,113,0,1,11.6,météo favorable
2009-08-09,37,25,10,25,34,31,0.1,69,9.875,1013,29.375,41,22,29,116,113,200,0,1,11.6,météo correcte
2009-08-10,34,25,9,25,34,29,1.8,71,9.875,1013,37.125,40,23,29,119,116,200,0,1,11.6,météo correcte
2009-08-11,30,24,8,24,30,28,2.8,79,9.625,1013,48.5,36,24,27,119,116,116,0,1,8.9,météo favorable
2009-08-12,34,23,10,23,32,30,0.1,73,10,1014,14.375,38,23,27,113,113,113,0,1,11.6,météo favorable
2009-08-13,36,25,12,25,36,29,1,66,9.875,1012,23.875,42,22,29,113,113,113,0,1,11.6,météo correcte
2009-08-14,33,25,14,25,33,27,0.1,68,10,1012,45,35,22,27,119,116,116,0,1,11.6,météo favorable
2009-08-15,33,24,12,24,32,29,0.5,70,9.875,1013,32,36,23,27,113,116,113,0,1,11.6,météo favorable
2009-08-16,36,23,7,23,35,31,0.4,67,9.875,1013,26.625,38,22,28,116,113,116,0,1,11.6,météo favorable
2009-08-17,32,24,10,24,29,28,0.2,69,10,1012,38.25,36,23,28,116,119,116,0,1,10.2,météo correcte
2009-08-18,32,23,10,23,32,29,0.9,70,9.875,1013,38.625,36,23,28,113,116,116,0,1,11.6,météo favorable
2009-08-19,33,24,11,24,33,27,2.7,77,10,1012,36.25,37,23,27,116,116,113,0,1,11.6,météo favorable
2009-08-20,35,22,12,22,34,29,0.5,76,7.125,1013,30.75,39,23,27,143,200,200,0,1,11.6,météo correcte
2009-08-21,34,24,11,24,34,29,0.3,66,9.875,1012,36.75,38,23,29,113,116,116,0,1,11.6,météo favorable
