DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,33,15,9,15,31,24,0,59,9,1013,0.125,31,17,25,143,113,113,0,1,11.6,météo idéale
2009-01-02,33,15,7,17,31,24,0,77,9,1013,6.75,31,18,23,143,113,113,0,1,11.6,météo idéale
2009-01-03,32,15,7,17,32,25,0,74,10,1014,6.5,32,18,23,113,113,113,0,1,11.6,météo idéale
2009-01-04,33,17,7,17,31,25,0,69,9,1013,4.5,31,18,24,143,113,113,0,1,11.6,météo idéale
2009-01-05,33,16,7,18,31,25,0,74,9,1013,11.5,31,19,24,143,113,113,0,1,11.6,météo idéale
2009-01-06,33,13,7,13,31,25,0,44,10,1013,22.125,31,11,24,116,113,113,0,1,11.6,météo favorable
2009-01-07,33,13,5,13,32,25,0,50,10,1012,3.875,32,13,24,113,113,113,0,1,11.6,météo favorable
2009-01-08,32,16,7,16,31,27,0,66,8.75,1011,16.25,31,18,25,248,113,113,0,1,11.6,météo idéale
2009-01-09,33,19,5,19,33,27,0.1,74,7.5,1014,44.75,34,20,25,248,113,116,0,1,11.6,météo favorable
2009-01-10,34,18,4,18,33,27,0.3,80,7.5,1016,39.5,34,21,24,248,113,113,0,1,11.6,météo favorable
2009-01-11,34,18,5,18,33,26,0,70,8.75,1014,16.375,34,18,24,248,113,113,0,1,11.6,météo idéale
2009-01-12,34,18,5,18,33,28,0,72,8.75,1013,19.5,35,19,25,248,113,113,0,1,11.6,météo favorable
2009-01-13,33,18,7,18,31,28,0,75,7.75,1013,23.75,32,21,25,248,113,113,0,1,11.6,météo idéale
2009-01-14,32,16,8,16,30,26,0,61,8.75,1013,21.75,30,16,24,248,113,113,0,1,11.6,météo idéale
2009-01-15,33,14,8,14,31,27,0,31,10,1013,9,31,7,24,113,113,113,0,1,11.6,météo favorable
2009-01-16,33,15,6,15,32,27,0,55,10,1013,4,32,14,24,113,113,113,0,1,11.6,météo idéale
2009-01-17,33,18,4,18,31,25,0,75,7.75,1013,38.5,32,19,24,248,113,116,0,1,11.6,météo favorable
2009-01-18,32,18,5,18,30,25,0,47,10,1014,39.875,30,13,25,116,116,116,0,1,11.6,météo favorable
2009-01-19,33,16,7,16,30,26,0,35,10,1015,15,31,9,21,113,113,113,0,1,11.6,météo idéale
2009-01-20,29,16,8,16,29,25,0,26,10,1015,10.5,28,4,20,113,113,113,0,1,11.6,météo idéale
2009-01-21,31,18,9,18,30,24,0,39,10,1014,17.875,29,9,21,113,116,113,0,1,11.6,météo favorable
2009-01-22,31,21,12,21,29,26,0,22,10,1014,6.625,29,2,23,113,113,113,0,1,11.6,météo idéale
2009-01-23,32,20,12,20,28,24,0,32,10,1015,10.875,29,6,21,113,113,113,0,1,11.6,météo idéale
2009-01-24,26,17,7,17,26,21,0,29,10,1015,13.75,25,2,19,113,113,113,0,1,11.6,météo idéale
2009-01-25,33,15,8,16,31,26,0,23,10,1014,3.875,31,4,22,113,113,113,0,1,11.6,météo idéale
2009-01-26,33,13,9,13,31,26,0,29,10,1014,0.25,31,4,23,113,113,113,0,1,11.6,météo favorable
2009-01-27,34,13,5,13,33,26,0,51,10,1014,1.75,33,12,23,113,113,113,0,1,11.6,météo favorable
2009-01-28,35,15,5,15,34,28,0,62,10,1013,1.625,34,16,24,113,113,113,0,1,11.6,météo idéale
2009-01-29,35,15,6,15,34,29,0,59,10,1013,0,34,16,25,113,113,113,0,1,11.6,météo idéale
2009-01-30,36,17,5,17,33,27,0,77,8.75,1014,15.5,37,18,23,248,113,113,0,1,11.6,météo favorable
2009-01-31,36,19,6,20,33,29,0,77,9,1013,16.125,36,20,24,143,113,113,0,1,11.6,météo favorable
2009-02-01,35,20,7,21,30,28,0,80,8,1012,39.625,36,20,24,143,113,116,0,1,10.2,météo favorable
2009-02-02,33,22,9,22,33,29,2.2,76,10,1013,55.75,35,22,24,119,116,116,0,1,11.6,météo correcte
2009-02-03,33,20,5,20,33,27,0.5,85,6.125,1013,62.25,36,21,24,248,116,116,0,1,11.6,météo correcte
2009-02-04,30,20,6,20,30,27,4.2,86,6,1013,66.625,34,23,24,248,116,200,0,1,8.8,météo défavorable
2009-02-05,33,21,8,21,30,30,0.6,88,7.5,1013,50.125,35,22,24,248,113,116,0,1,11.6,météo favorable
2009-02-06,34,21,8,21,30,28,1.3,83,6.375,1014,53.625,37,22,24,248,116,116,0,1,10.2,météo favorable
2009-02-07,36,22,8,22,32,31,0.9,87,6.25,1013,54.25,38,22,23,143,113,113,0,1,11.6,météo favorable
2009-02-08,33,22,8,22,31,29,2.3,88,7.125,1013,48.125,35,23,24,143,113,113,0,1,10.2,météo favorable
2009-02-09,34,22,7,22,33,29,0.2,83,7.75,1014,43.125,35,23,25,143,113,113,0,1,11.6,météo favorable
2009-02-10,34,19,7,19,34,30,0,74,8.75,1014,20.375,35,21,26,248,113,113,0,1,11.6,météo favorable
2009-02-11,35,19,5,21,34,30,0.1,84,10,1013,24.875,37,21,24,119,113,113,0,1,10.2,météo favorable
2009-02-12,36,22,6,22,33,30,0.3,77,7.75,1012,39.125,37,21,25,143,113,113,0,1,11.6,météo favorable
2009-02-13,37,21,7,21,33,29,0.1,76,9,1011,24.875,37,22,25,143,113,113,0,1,11.6,météo favorable
2009-02-14,35,21,8,21,31,30,0,76,9,1011,38.25,35,22,24,116,116,116,0,1,11.6,météo favorable
2009-02-15,34,20,8,20,31,30,0,74,10,1011,29,34,20,24,116,113,116,0,1,11.6,météo idéale
2009-02-16,31,20,9,20,31,29,3.4,71,8.5,1011,40.625,32,21,24,143,116,116,0,1,11.6,météo favorable
2009-02-17,24,21,8,21,24,24,7.1,94,6.875,1011,79.375,26,21,22,248,122,116,0,1,8.8,météo défavorable
2009-02-18,32,20,6,20,30,24,1.8,87,8,1011,59.75,33,22,24,143,116,119,0,1,10.2,météo correcte
2009-02-19,23,21,4,21,23,21,8.6,96,6.125,1012,76,25,22,21,248,122,143,0,1,8.8,météo défavorable
2009-02-20,29,20,5,20,26,25,1.4,94,6,1013,60,31,21,20,143,116,116,0,1,10.2,météo correcte
2009-02-21,31,18,8,18,28,28,0,76,8,1013,20.875,31,19,21,116,113,113,0,1,11.6,météo idéale
2009-02-22,34,19,6,19,33,29,0,73,10,1012,9.25,35,19,25,113,113,113,0,1,11.6,météo favorable
2009-02-23,35,19,7,19,34,29,0,73,9,1010,6.5,36,20,25,143,113,113,0,1,11.6,météo favorable
2009-02-24,35,22,7,22,31,29,0,75,9,1010,32.75,36,22,25,119,113,116,0,1,11.6,météo favorable
2009-02-25,30,21,7,21,30,25,2.5,90,4.75,1011,69.625,33,23,24,143,116,200,0,1,10.2,météo défavorable
2009-02-26,30,21,8,21,30,26,3.3,86,4.5,1012,73.25,34,23,24,248,116,200,0,1,10.2,météo défavorable
2009-02-27,31,21,6,21,31,27,3.2,88,6,1012,57.625,35,22,24,248,116,200,0,1,11.6,météo correcte
2009-02-28,33,21,8,21,33,28,3,88,7.125,1012,55.875,37,23,24,248,116,200,0,1,11.6,météo correcte
2009-03-01,32,21,5,21,31,29,4.3,87,8.375,1013,43.875,35,23,24,248,116,113,0,1,11.6,météo favorable
2009-03-02,31,22,6,22,31,27,4.1,90,7.25,1012,62.75,36,23,24,248,116,200,0,1,11.6,météo correcte
2009-03-03,34,20,6,20,33,30,0.4,82,6.125,1012,47.625,37,22,25,248,113,113,0,1,11.6,météo favorable
2009-03-04,31,23,6,23,31,27,1.4,86,7.875,1012,56.625,35,24,25,143,200,113,0,1,10.2,météo correcte
2009-03-05,29,22,4,22,26,27,2,95,5.125,1012,64.375,33,23,23,248,116,113,0,1,10.2,météo correcte
2009-03-06,34,21,9,21,32,29,0,81,6.25,1012,51.375,37,22,25,248,116,113,0,1,11.6,météo favorable
2009-03-07,36,21,6,21,35,30,0.1,78,6.25,1011,56.625,38,22,26,248,113,116,0,1,11.6,météo correcte
2009-03-08,35,21,8,21,32,29,0,72,7.75,1012,35.625,37,21,25,248,113,116,0,1,11.6,météo favorable
2009-03-09,36,21,7,21,35,31,0.1,71,9,1011,13.125,38,21,25,143,113,113,0,1,11.6,météo favorable
2009-03-10,33,23,8,23,32,26,2.9,79,9.625,1011,59.875,35,22,25,119,113,116,0,1,11.6,météo correcte
2009-03-11,29,21,7,21,29,25,8.5,94,5.75,1012,68.5,33,24,25,248,116,200,0,1,11.6,météo défavorable
2009-03-12,29,22,6,22,29,25,5.3,94,5.375,1011,65.75,33,24,23,248,200,143,0,1,11.6,météo défavorable
2009-03-13,23,20,6,21,21,21,16.8,98,4.25,1013,73.875,25,22,21,248,248,143,0,1,7.4,météo très défavorable
2009-03-14,22,20,2,20,22,21,6.6,97,6.125,1014,78.875,25,21,21,143,119,248,0,1,7.4,météo défavorable
2009-03-15,30,19,6,20,29,27,0,91,8,1014,25.5,33,21,22,143,113,113,0,1,11.6,météo idéale
2009-03-16,32,20,9,20,29,26,0,87,5.375,1013,44.75,35,24,23,143,113,200,0,1,11.6,météo favorable
2009-03-17,30,21,7,21,29,27,0.7,83,5.125,1012,50.25,34,23,24,248,113,113,0,1,11.6,météo favorable
2009-03-18,33,20,6,20,30,26,0.4,84,5,1011,52.625,36,23,24,248,113,200,0,1,11.6,météo favorable
2009-03-19,30,21,6,21,30,26,2.2,90,7.25,1013,52.875,32,22,22,248,116,200,0,1,11.6,météo favorable
2009-03-20,28,20,5,20,27,25,2.2,89,6.5,1013,50.625,31,23,23,248,116,200,0,1,10.2,météo favorable
2009-03-21,31,19,7,19,30,28,0,82,6.125,1012,51.5,34,23,26,248,113,113,0,1,11.6,météo favorable
2009-03-22,34,21,9,21,33,27,0,80,5.125,1011,58.875,36,23,26,248,113,200,0,1,11.6,météo correcte
2009-03-23,34,22,7,22,34,30,0,83,6.25,1011,51.5,38,23,25,248,113,113,0,1,11.6,météo favorable
2009-03-24,33,22,6,23,32,28,0,77,7.75,1009,36.25,38,23,26,143,113,113,0,1,11.6,météo favorable
2009-03-25,33,22,7,22,32,30,0,84,6.25,1009,51.75,36,22,25,248,113,113,0,1,11.6,météo favorable
2009-03-26,32,22,7,22,32,26,5.4,90,5.75,1010,67,36,24,24,248,116,200,0,1,10.2,météo défavorable
2009-03-27,32,22,6,22,32,26,4.5,93,5.5,1010,61.375,36,24,24,248,113,200,0,1,11.6,météo correcte
2009-03-28,29,21,9,21,29,24,10.2,96,4.125,1010,75.375,32,25,24,248,200,143,0,1,8.8,météo défavorable
2009-03-29,23,21,6,21,23,23,20.8,98,4.125,1012,72.625,26,22,22,248,143,116,0,1,8.8,météo très défavorable
2009-03-30,28,19,7,20,28,24,0,94,6.25,1011,55.125,31,22,22,248,116,113,0,1,11.6,météo correcte
2009-03-31,30,19,9,19,30,26,0,85,6.75,1011,30.625,33,24,24,248,113,113,0,1,11.6,météo favorable
2009-04-01,27,21,10,21,27,25,0.7,91,6.25,1012,76.375,30,23,22,248,119,116,0,1,8.8,météo défavorable
2009-04-02,31,21,7,21,31,27,0,90,6,1012,59.875,35,23,23,248,116,200,0,1,11.6,météo correcte
2009-04-03,30,21,8,21,30,26,3.5,85,5.875,1012,59.5,34,23,24,248,116,113,0,1,11.6,météo correcte
2009-04-04,33,20,8,20,30,27,0.4,85,6,1013,53.125,36,22,24,248,116,113,0,1,11.6,météo favorable
2009-04-05,33,20,6,20,32,26,0,82,4.875,1012,64.25,35,23,25,248,113,200,0,1,11.6,météo correcte
2009-04-06,29,21,7,21,29,25,3.6,94,4.875,1013,75.875,32,24,25,248,116,143,0,1,8.8,météo défavorable
2009-04-07,27,21,6,21,27,25,4.1,96,3.875,1013,71.5,31,24,23,248,116,143,0,1,10.2,météo défavorable
2009-04-08,27,21,5,21,27,25,3.8,94,6.25,1013,51,30,22,23,248,116,113,0,1,11.6,météo favorable
2009-04-09,31,21,6,21,31,25,0.1,92,6.125,1013,53.125,35,24,25,248,113,113,0,1,11.6,météo favorable
2009-04-10,32,21,6,21,32,28,0,83,6.25,1013,53.125,35,22,25,248,113,113,0,1,11.6,météo favorable
2009-04-11,29,22,7,22,29,25,2.2,89,5.625,1013,56.875,32,24,25,143,116,200,0,1,11.6,météo correcte
2009-04-12,33,20,8,20,30,27,0.4,79,6,1013,54.25,35,22,24,248,113,116,0,1,11.6,météo favorable
2009-04-13,32,20,6,20,30,27,0.5,79,6,1013,52.875,35,22,24,248,113,113,0,1,11.6,météo favorable
2009-04-14,32,20,5,20,32,24,0.8,82,6.75,1014,44.875,34,22,24,143,116,116,0,1,11.6,météo favorable
2009-04-15,32,20,6,20,32,28,0,63,10,1015,43.375,34,20,26,116,116,116,0,1,11.6,météo favorable
2009-04-16,35,21,6,21,30,29,0,67,10,1015,30.125,37,20,25,116,113,116,0,1,11.6,météo favorable
2009-04-17,35,22,8,22,32,30,0.4,73,8.875,1015,23.625,39,21,26,143,113,116,0,1,11.6,météo favorable
2009-04-18,34,20,8,20,33,28,0.5,73,8.875,1013,33.125,36,21,25,143,113,116,0,1,11.6,météo favorable
2009-04-19,34,22,9,22,32,26,0.5,83,6.625,1012,46.625,37,23,25,143,116,113,0,1,11.6,météo favorable
2009-04-20,32,21,6,21,31,27,3,83,6,1014,64.125,36,24,26,248,200,200,0,1,11.6,météo correcte
2009-04-21,34,21,6,21,33,27,2.2,83,6.125,1013,66.375,38,23,26,248,113,200,0,1,11.6,météo défavorable
2009-04-22,33,22,8,22,33,29,2.6,85,5.875,1011,62.875,37,23,25,248,113,200,0,1,10.2,météo correcte
2009-04-23,33,21,5,21,33,29,0.2,89,6.125,1011,52.75,37,23,24,248,113,113,0,1,11.6,météo favorable
2009-04-24,35,21,4,21,32,29,0,92,7.5,1012,45.625,38,22,23,248,113,113,0,1,10.2,météo favorable
2009-04-25,36,21,7,21,32,30,0,75,7.5,1013,47.375,39,21,25,248,113,116,0,1,11.6,météo favorable
2009-04-26,34,21,8,21,32,27,0.9,73,6.625,1013,42.75,36,22,26,143,113,116,0,1,11.6,météo favorable
2009-04-27,35,20,7,20,32,29,1.2,73,6.25,1014,53.5,37,22,25,248,113,116,0,1,11.6,météo favorable
2009-04-28,32,21,5,21,30,29,0,80,6.25,1013,51.5,35,22,25,248,116,113,0,1,11.6,météo favorable
2009-04-29,34,20,5,20,34,28,0.4,69,7.875,1014,28.875,36,21,27,143,113,116,0,1,11.6,météo favorable
2009-04-30,35,21,6,21,35,29,1.7,78,6.375,1014,54.875,40,22,26,248,116,200,0,1,11.6,météo correcte
2009-05-01,34,22,8,22,33,29,0,81,6,1012,56.25,37,23,26,248,113,200,0,1,11.6,météo correcte
2009-05-02,30,21,9,21,29,26,0.6,76,8,1012,43.625,33,22,25,143,116,113,0,1,11.6,météo favorable
2009-05-03,35,21,9,21,31,28,1.1,75,6.375,1012,50.5,37,22,25,248,113,116,0,1,11.6,météo favorable
2009-05-04,35,21,6,21,33,25,3.1,91,5.75,1012,69.375,37,24,25,248,116,200,0,1,10.2,météo défavorable
2009-05-05,28,22,10,22,26,26,11.2,96,7.375,1013,59.75,31,22,23,248,116,116,0,1,10.2,météo correcte
2009-05-06,28,21,8,21,27,24,0.4,84,7.875,1013,52.625,30,22,24,143,116,113,0,1,10.2,météo favorable
2009-05-07,27,21,8,21,27,22,4.9,98,7.125,1013,55.75,30,23,22,143,116,248,0,1,10.2,météo correcte
2009-05-08,29,20,6,21,25,26,0.7,98,5,1013,76.875,32,22,22,248,119,116,0,1,8.9,météo défavorable
2009-05-09,34,21,8,21,32,26,2.4,88,7.375,1014,58.5,36,23,24,248,113,200,0,1,11.6,météo correcte
2009-05-10,29,21,8,21,29,25,4.7,92,6.875,1013,60.375,33,24,24,248,113,200,0,1,10.2,météo correcte
2009-05-11,27,21,7,21,22,23,6.2,96,6.875,1013,65.375,29,22,21,248,116,116,0,1,10.2,météo défavorable
2009-05-12,27,21,8,21,27,24,4.6,96,3.75,1014,76.75,29,24,22,248,116,143,0,1,10.2,météo défavorable
2009-05-13,32,20,8,20,30,25,0.7,88,6.25,1014,54.5,33,23,25,248,113,116,0,1,11.6,météo favorable
2009-05-14,32,21,7,21,32,27,4.1,95,7.125,1013,49.375,36,22,23,248,113,113,0,1,11.6,météo favorable
2009-05-15,33,19,8,19,33,27,2.4,84,6,1012,53.5,38,23,26,248,116,200,0,1,11.6,météo favorable
2009-05-16,29,20,5,20,29,26,4.1,88,6.875,1011,57.25,34,25,26,248,116,200,0,1,11.6,météo correcte
2009-05-17,32,20,9,20,31,27,1.2,83,7.375,1012,51.375,35,23,26,248,113,200,0,1,11.6,météo favorable
2009-05-18,28,21,6,21,28,26,4.7,89,4.625,1014,60.875,32,25,25,248,113,200,0,1,11.6,météo correcte
2009-05-19,32,20,8,20,32,26,1.5,84,6.125,1014,57,35,23,25,248,116,200,0,1,11.6,météo correcte
2009-05-20,31,21,7,21,31,26,2.4,88,4.875,1014,68.875,34,24,25,248,113,200,0,1,11.6,météo défavorable
2009-05-21,34,20,6,20,32,30,0,80,6.25,1013,48.25,37,22,26,248,113,113,0,1,11.6,météo favorable
2009-05-22,31,22,7,22,28,27,1.2,88,8,1014,54.75,34,23,23,143,119,116,0,1,8.9,météo correcte
2009-05-23,33,21,5,21,30,29,0,94,5.25,1015,59,36,22,23,248,116,113,0,1,10.2,météo correcte
2009-05-24,33,22,7,22,32,30,0,83,6.75,1015,46.5,36,22,25,143,113,113,0,1,11.6,météo favorable
2009-05-25,32,20,9,20,32,26,3.2,86,8.75,1013,49.5,35,23,25,248,113,113,0,1,10.2,météo favorable
2009-05-26,33,21,6,21,32,29,0.3,91,6.125,1013,57.875,37,22,23,248,116,113,0,1,10.2,météo correcte
2009-05-27,30,21,5,21,30,25,3.8,92,5,1013,75.375,33,25,25,248,119,200,0,1,7.5,météo défavorable
2009-05-28,28,21,8,21,28,25,1.7,89,5,1013,71.25,31,23,24,248,119,200,0,1,8.9,météo défavorable
2009-05-29,31,20,8,20,31,25,1.3,87,6,1014,64.375,34,23,25,248,116,200,0,1,11.6,météo correcte
2009-05-30,33,20,8,20,31,29,2.3,83,6.25,1014,54.5,35,22,24,248,113,116,0,1,11.6,météo favorable
2009-05-31,32,20,8,20,32,26,2.2,84,6.25,1014,63.25,34,23,25,248,116,116,0,1,11.6,météo correcte
2009-06-01,32,20,9,20,31,29,0.8,86,6.25,1015,61.125,34,23,25,248,116,116,0,1,11.6,météo correcte
2009-06-02,34,19,9,19,31,30,0,74,6.125,1014,49.5,36,22,27,248,113,200,0,1,11.6,météo favorable
2009-06-03,34,21,9,21,33,27,1.9,81,6.125,1014,59.375,37,23,26,248,113,200,0,1,11.6,météo correcte
2009-06-04,30,22,8,22,30,25,2.6,92,7.25,1015,71.125,34,24,24,248,119,200,0,1,8.9,météo défavorable
2009-06-05,29,21,5,21,29,25,3,91,5,1016,76.75,33,24,24,248,119,113,0,1,7.5,météo défavorable
2009-06-06,29,20,5,20,29,25,3.5,92,6,1016,73.125,32,24,23,248,116,200,0,1,10.2,météo défavorable
2009-06-07,27,21,8,21,25,25,4.2,97,7.375,1015,71.25,31,23,22,248,116,200,0,1,8.9,météo défavorable
2009-06-08,31,20,5,20,31,25,3.6,92,5.75,1014,74.125,34,24,25,248,116,200,0,1,8.9,météo défavorable
2009-06-09,31,21,6,21,31,25,3.4,92,7.25,1014,66.25,35,25,24,248,113,200,0,1,10.2,météo défavorable
2009-06-10,29,21,8,21,25,26,1.2,97,5.25,1014,79.25,32,23,22,248,119,116,0,1,8.9,météo défavorable
2009-06-11,27,22,6,22,25,25,3.5,95,5.125,1014,81.25,31,24,23,248,119,116,0,1,8.9,météo défavorable
2009-06-12,28,21,5,21,28,25,7.9,95,6,1014,76.75,32,24,23,248,116,143,0,1,10.2,météo défavorable
2009-06-13,25,21,7,21,25,22,7.5,98,4.625,1015,90.125,27,22,22,248,119,248,0,1,6.2,météo défavorable
2009-06-14,28,20,7,20,28,25,0,94,5,1016,74.125,31,23,22,248,116,113,0,1,10.2,météo défavorable
2009-06-15,31,18,6,18,31,24,2.9,95,4.75,1016,61.625,34,23,24,248,113,143,0,1,11.6,météo correcte
2009-06-16,28,20,7,20,28,25,2.7,96,6.375,1016,73,32,23,22,248,116,200,0,1,10.2,météo défavorable
2009-06-17,28,21,7,21,26,24,2.4,96,5,1015,78,30,23,22,248,119,200,0,1,8.9,météo défavorable
2009-06-18,30,20,8,21,30,25,0.8,88,7.5,1015,64.875,33,23,24,248,116,113,0,1,11.6,météo correcte
2009-06-19,31,20,9,20,28,25,2.1,95,5.125,1015,73.375,34,23,22,248,116,200,0,1,10.2,météo défavorable
2009-06-20,26,21,8,21,26,23,3.7,96,5.25,1015,83.75,29,23,23,248,119,143,0,1,6.2,météo défavorable
2009-06-21,28,18,6,18,28,24,4.6,95,4.875,1016,77.625,31,23,21,248,116,143,0,1,8.9,météo défavorable
2009-06-22,28,20,7,20,28,24,4.7,94,6.25,1016,70,30,23,23,248,116,143,0,1,11.6,météo défavorable
2009-06-23,31,18,6,18,29,27,2.8,86,7.125,1016,49.375,33,22,24,116,113,116,0,1,11.6,météo favorable
2009-06-24,31,20,7,20,31,25,1.2,91,6,1015,75.125,35,24,24,248,116,200,0,1,8.9,météo défavorable
2009-06-25,26,21,5,21,24,24,6.6,97,5.125,1016,84.125,29,24,23,248,143,143,0,1,7.5,météo défavorable
2009-06-26,30,19,8,19,29,26,1,89,6.125,1016,61.75,34,23,24,248,116,200,0,1,11.6,météo correcte
2009-06-27,26,21,6,21,23,23,5.2,98,4.875,1017,93.25,29,23,22,248,122,248,0,1,6.2,météo défavorable
2009-06-28,24,20,8,20,24,22,7.2,98,2.875,1017,96.375,26,23,22,248,143,248,0,1,6.2,météo défavorable
2009-06-29,30,20,6,20,29,25,2.7,94,3.875,1017,76,33,24,22,248,116,143,0,1,10.2,météo défavorable
2009-06-30,29,21,7,21,27,24,3.9,97,6.375,1016,81.375,33,23,22,248,119,143,0,1,7.5,météo défavorable
2009-07-01,28,19,10,19,28,24,1.5,91,7.375,1016,62.125,30,22,23,248,116,116,0,1,11.6,météo correcte
2009-07-02,28,19,6,19,28,25,1.4,87,6,1017,63.5,30,22,22,248,116,200,0,1,11.6,météo correcte
2009-07-03,29,20,9,20,28,26,0.9,95,5.125,1016,63.625,31,22,22,248,116,113,0,1,10.2,météo correcte
2009-07-04,28,20,7,21,28,25,4,93,5.75,1016,83,31,24,23,248,116,200,0,1,7.5,météo défavorable
2009-07-05,27,21,6,21,24,25,2.2,97,6.375,1015,86.625,29,23,22,248,122,119,0,1,6.2,météo défavorable
2009-07-06,27,20,7,20,25,24,2.5,97,4.875,1015,84.625,29,23,22,248,119,200,0,1,7.5,météo défavorable
2009-07-07,25,21,7,21,25,23,5.4,97,4.875,1015,86.875,28,23,22,248,116,248,0,1,8.9,météo défavorable
2009-07-08,26,20,8,20,23,23,1.9,97,4,1016,93.375,28,22,21,248,119,143,0,1,6.2,météo défavorable
2009-07-09,27,19,7,19,25,24,4.2,96,4.875,1016,80.625,30,23,22,248,119,143,0,1,8.9,météo défavorable
2009-07-10,28,20,6,20,25,24,4.6,96,4,1016,78.875,31,23,21,248,119,143,0,1,8.9,météo défavorable
2009-07-11,22,21,6,21,22,21,9.2,99,4.125,1015,99.375,25,22,21,248,248,248,0,1,6.2,météo défavorable
2009-07-12,25,19,8,19,25,22,1.9,96,5.5,1017,79.5,26,21,20,248,119,116,0,1,8.9,météo défavorable
2009-07-13,24,20,7,20,22,24,1.6,96,5.5,1017,89.125,26,21,21,248,122,119,0,1,6.2,météo défavorable
2009-07-14,27,20,7,20,24,24,1.7,96,5.25,1017,89.125,29,23,21,248,119,116,0,1,7.5,météo défavorable
2009-07-15,23,20,6,20,21,22,3.5,99,5.125,1017,94.25,25,21,20,248,143,119,0,1,6.2,météo défavorable
2009-07-16,27,19,6,20,23,25,0.3,98,4.25,1018,71.875,29,21,20,248,119,116,0,1,8.9,météo défavorable
2009-07-17,28,19,8,20,24,24,2.4,97,5.25,1018,81.5,30,22,21,248,119,116,0,1,8.9,météo défavorable
2009-07-18,21,20,7,20,21,21,5.8,99,3,1016,100,24,21,20,248,143,143,0,1,6.2,météo défavorable
2009-07-19,21,18,8,19,20,21,0.9,99,3.25,1017,95.875,24,20,20,248,143,119,0,1,6.2,météo défavorable
2009-07-20,29,15,5,15,28,25,0,82,6.25,1018,43.75,30,20,23,248,113,113,0,1,11.6,météo favorable
2009-07-21,25,20,7,20,25,24,2.4,95,7.75,1017,61.5,28,23,22,248,119,143,0,1,7.5,météo correcte
2009-07-22,28,20,6,20,26,25,5.5,97,5.75,1015,83.375,32,24,22,248,116,200,0,1,7.5,météo défavorable
2009-07-23,25,21,8,21,25,23,6.5,98,4.625,1015,90.75,27,23,21,248,119,248,0,1,6.2,météo défavorable
2009-07-24,27,19,7,19,27,24,1.4,94,5.125,1015,76.375,30,23,22,248,116,143,0,1,10.2,météo défavorable
2009-07-25,28,20,7,20,24,25,3.9,96,6.5,1016,82.375,31,24,21,248,119,116,0,1,7.5,météo défavorable
2009-07-26,24,19,9,19,23,22,2.1,97,6.375,1016,92.375,26,21,20,248,122,119,0,1,6.1,météo défavorable
2009-07-27,26,19,9,19,26,24,0.3,94,5.25,1017,82,28,22,21,248,119,116,0,1,7.5,météo défavorable
2009-07-28,23,20,5,20,23,22,0.8,97,3.375,1016,88,25,21,20,248,122,116,0,1,7.5,météo défavorable
2009-07-29,25,19,6,19,22,23,2.7,99,6.375,1017,83.875,27,22,20,248,122,116,0,1,8.9,météo défavorable
2009-07-30,27,19,7,20,23,24,1.9,96,5.5,1016,81.125,29,23,21,248,119,116,0,1,8.9,météo défavorable
2009-07-31,23,20,6,20,22,22,3.8,99,3,1017,99.125,25,22,21,248,143,248,0,1,6.1,météo défavorable
2009-08-01,22,20,7,20,21,21,7.3,99,4.25,1016,100,24,21,21,248,248,248,0,1,6.1,météo défavorable
2009-08-02,22,20,6,20,22,22,1.8,99,3.5,1016,97.375,25,21,21,248,143,143,0,1,6.1,météo défavorable
2009-08-03,26,20,7,20,24,24,2.9,95,5.25,1017,81.625,28,23,22,248,119,143,0,1,7.5,météo défavorable
2009-08-04,27,20,6,20,25,23,5.3,98,3.875,1016,91.25,30,23,21,248,119,248,0,1,6.1,météo défavorable
2009-08-05,22,21,7,21,22,22,5.6,99,3.625,1015,100,25,22,21,248,248,248,0,1,6.1,météo défavorable
2009-08-06,28,20,6,20,25,24,3.8,97,3.5,1016,87.125,31,23,22,248,119,248,0,1,7.5,météo défavorable
2009-08-07,24,21,6,21,24,21,30.9,100,2.875,1016,97,26,23,22,248,143,248,0,1,6.1,météo très défavorable
2009-08-08,25,20,6,20,24,23,11.9,99,4.625,1016,91.5,28,23,21,248,122,248,0,1,7.5,météo défavorable
2009-08-09,28,21,6,21,27,24,3.5,98,4,1016,83.625,32,24,22,248,119,143,0,1,7.5,météo défavorable
2009-08-10,26,21,8,21,26,23,5,98,6.25,1016,84.875,29,24,23,248,116,248,0,1,8.9,météo défavorable
2009-08-11,24,20,5,20,24,22,4.9,98,4.625,1016,89,27,23,21,248,119,248,0,1,7.5,météo défavorable
2009-08-12,27,20,7,20,27,24,2.5,98,4.5,1017,76.125,30,23,21,248,119,143,0,1,8.9,météo défavorable
